n,y, depth.  m ,bk,GZ1,GZ2,GZ3,GZ4,GZ5,GZ7,DGK,NKTD,NKTM,NKTR,ALPS
1,0,2425.987,0.412532488,0.315626223,0.148982432,0.714784617,0.119983157,0.41222465,0.753787327,0.332312736,0.613226534,0.792648963,0.484614624,0.257783723
1,0,2471.095,0.465882553,0.774,0.774,0.226369796,0.296763132,0.774,0.152612642,0.124475596,0.682973986,0.792648963,0.27251225,0.244192514
1,0,2092.7785,0.544635935,0.774,0.774,0.774,0.211249966,0.387775358,0.24374485,0.515213545,0.664928886,0.792648963,0.254139882,0.66359787
1,0,2260.054,0.358562715,0.242665876,0.993253767,0.514456823,0.615633812,0.291424496,0.671553136,0.317371544,0.523744542,0.792648963,0.428932931,0.317136915
1,0,2318.4975,0.37717256,0.278463362,0.116985233,0.688454468,0.613339424,0.218983322,0.756938524,0.326929949,0.487122482,0.792648963,0.426946328,0.226845627
1,0,2358.862,0.339713625,0.246713864,0.984529189,0.725583794,0.896583958,0.293346537,0.682339955,0.492544149,0.471837686,0.792648963,0.441177957,0.126133476
1,0,2361.726,0.3138969,0.285637484,0.984529189,0.593459333,0.845927741,0.267922523,0.818417914,0.515213545,0.487759577,0.792648963,0.428771611,0.733674182
1,0,2363.337,0.331266689,0.212456294,0.135234862,0.565244152,0.928824847,0.384492318,0.728323628,0.578756541,0.49356875,0.792648963,0.398794595,0.713219735
1,0,2442.5445,0.498574977,0.774,0.774,0.774,0.484523845,0.69918377,0.927481837,0.234422163,0.674942281,0.792648963,0.245125273,0.845212822
1,0,2592.994,0.287357625,0.577361422,0.281749886,0.153233838,0.244195884,0.774,0.233819836,0,0,0.792648963,0.258521222,0.188274225
1,0,2561.132,0,0.136231347,0.531356195,0.295318975,0.465179663,0.157933276,0.469187191,0.466268258,0.552611184,0.792648963,0.535258745,0.383432434
1,0,2284.3085,0.929188495,0.413883862,0.241237736,0.131259745,0,0,0,0,0,0.792648963,0,0.245647174
1,0,2071.8355,0.774,0.774,0.774,0.368721894,0,0,0,0,0,0.792648963,0,0.485631627
1,0,2196.509,0.675979226,0.228349686,0.985977265,0.579351742,0,0,0,0,0,0.792648963,0,0.253258883
1,0,2577.1525,0,0.254466943,0.182717349,0.175137514,0.293692639,0.774,0.297468484,0.183158415,0,0.792648963,0,0.345783176
0,1,2265.5135,0.428971752,0.248375596,0.122125547,0.691742219,0.643268247,0.198826712,0.864618925,0.222537934,0.533585732,0.792648963,0.485975574,0.328264933
1,0,2480.582,0.37717256,0.249433189,0.132911446,0.631795763,0.951852777,0.284373933,0.841755689,0.458248412,0.552218356,0.792648963,0.462535591,0.943385626
1,0,2826.8575,0,0,0,0,0,0,0,0,0.439544745,0.791361313,0.431446583,0.295439428
1,0,2825.0675,0,0,0,0,0,0,0,0,0.486524498,0.789954157,0.372429955,0.312453773
1,0,2827.484,0,0,0,0,0,0,0,0,0.42614527,0.789255792,0.446689387,0.285543867
1,0,2794.548,0,0,0,0,0,0,0,0.515213545,0.764174637,0.78854713,0.168781347,0.774
0,1,2794.548,0,0,0,0,0,0,0,0.515213545,0.764174637,0.78854713,0.168781347,0.774
1,0,2478.255,0,0.174558681,0.893315456,0.581232754,0.942641298,0,0.539174196,0.473481248,0.447812673,0.78854713,0.583654648,0.455391592
1,0,2621.992,0,0.279274262,0.137544519,0.742592939,0.1177534,0,0.811421516,0.382288451,0.588685223,0.78854713,0.51176654,0.163958229
1,0,2340.425,0.36662668,0.226791637,0.115247829,0.663567828,0.137826576,0.363815869,0.668124539,0.515213545,0.59923239,0.78854713,0.396685124,0.125283147
1,0,2347.227,0.355463234,0.298611462,0.177197627,0.763699328,0.124969582,0.391542911,0.463163981,0.49718176,0.628488546,0.78854713,0.399588879,0.124727865
1,0,2357.788,0.297767812,0.183263598,0.822371446,0.428877715,0.772228946,0.267452487,0.566783215,0.482755913,0.576432942,0.78854713,0.455728132,0.877824528
1,0,2358.2355,0.31484978,0.186831561,0.839745485,0.439686591,0.754573612,0.268627579,0.466572525,0.439992367,0.522991283,0.78854713,0.494122219,0.927369118
1,0,2388.934,0.348161282,0.221862479,0.145539698,0.377142936,0.563435434,0.184255488,0.726158915,0.392775749,0.576747417,0.78854713,0.421443987,0.528666926
1,0,2396.094,0.394542349,0.269543456,0.123645284,0.776858179,0.157976856,0.159343394,0.673214736,0.47187282,0.617581531,0.78854713,0.416527447,0.413398563
1,0,2400.3005,0.381515682,0.241888389,0.123152583,0.615561226,0.15317948,0.428911528,0.756463194,0.399328934,0.597266922,0.78854713,0.413462373,0.543219149
1,0,2400.569,0.364765568,0.227376651,0.119431752,0.62543654,0.125544646,0.442777218,0.776786119,0.377136315,0.612764783,0.78854713,0.413946332,0.786394447
1,0,2405.76,0.365385917,0.272138333,0.191669138,0.594399839,0.136291329,0.333728515,0.647816826,0.38227596,0.568256588,0.78854713,0.444276124,0.475819381
1,0,2435.295,0.488138943,0.318521863,0.229482171,0.219426727,0.517378415,0.158873355,0.638678322,0.427627243,0.684765645,0.78854713,0.481388227,0.495638324
1,0,2584.044,0.563415189,0.774,0.664989375,0.352783829,0.729856145,0.774,0.616351946,0.515213545,0.724393498,0.78854713,0.215756117,0.343648246
1,0,2266.319,0.35212546,0.183912318,0.943989752,0.565416264,0.693931379,0.238313113,0.977817525,0.454418346,0.511882995,0.78854713,0.389264419,0.162178978
1,0,2356.356,0.465882553,0.26889473,0.138844687,0.947896174,0.155366938,0.462988916,0.956494414,0.374453342,0.511965537,0.78854713,0.415382769,0.185154797
1,0,2604.0025,0,0.316251349,0.183662283,0.849747239,0.142478672,0.336455229,0.764586289,0.478633383,0.629579241,0.78854713,0.48323314,0.484227849
0,1,2614.832,0.683491466,0.413559446,0.168817799,0.725131837,0,0,0,0,0,0.78854713,0,0.518969747
1,0,2186.306,0.774,0.774,0.774,0.51549138,0,0,0,0,0,0.78854713,0,0.418716178
1,0,2860.1515,0,0,0,0,0,0,0,0,0.398518628,0.78854713,0.48836644,0.172184448
1,0,2872.5025,0,0,0,0,0,0,0,0,0.351744532,0.78854713,0.477873253,0.168396949
1,0,2873.3975,0,0,0,0,0,0,0,0,0.34346859,0.78854713,0.535629314,0.167458343
1,0,2874.2925,0,0,0,0,0,0,0,0,0.331378185,0.78854713,0.551939197,0.144812431
1,0,2880.5575,0,0,0,0,0,0,0,0,0.381379733,0.78854713,0.492751155,0.152598137
1,0,2883.6005,0,0,0,0,0,0,0,0,0.339554538,0.78854713,0.527282189,0.143477722
1,0,2903.8275,0,0,0,0,0,0,0,0,0.452798438,0.78854713,0.468163635,0.122821494
1,0,2978.4705,0,0,0,0,0,0,0,0,0,0.78854713,0.536321478,0.637367197
0,1,2265.424,0.393316493,0.228253258,0.121328744,0.69331459,0.623314486,0.198356673,0.875263454,0.213813621,0.543985764,0.78854713,0.473311979,0.344113995
0,1,2284.756,0.481391293,0.381423322,0.136531332,0.698338186,0.838244542,0.272727178,0.636647547,0.172813239,0.566369737,0.78854713,0.445564991,0.435314138
1,0,2377.657,0.375931864,0.263749643,0.117564368,0.664937795,0.122528991,0.436196664,0.648832189,0.368377684,0.579734939,0.78854713,0.435622599,0.996186644
0,1,2487.6525,0.418115633,0.267921649,0.123152583,0.666264183,0.887372427,0.317746782,0.694524597,0.454735965,0.538695924,0.78854713,0.479388276,0.272647794
1,0,2505.105,0.366626616,0.256444617,0.755779366,0.579351742,0.572646912,0.226893893,0.967663657,0.942847867,0.578791554,0.78854713,0.431691498,0.583311869
1,0,2050.3555,0.879655739,0.616884486,0.353765645,0.925928237,0.997911691,0.455938324,0.265929813,0.123651257,0.774,0.78854713,0.243996353,0.765343265
0,1,2054.1145,0.389269377,0.278949972,0.144711312,0.714784617,0.762133544,0.291675816,0.563539696,0.17878,0.721674372,0.78854713,0.326269786,0.728496293
1,0,2054.8305,0.39857463,0.269219923,0.145125856,0.686569435,0.112846114,0.326677459,0.755447874,0.372241786,0.689812318,0.78854713,0.323123345,0.511798654
1,0,2109.7835,0.639134713,0.382745213,0.258438912,0.132564331,0.155827511,0.774,0.143118775,0.342335981,0.716138525,0.78854713,0.312177692,0.654873574
0,1,2109.7835,0.639134713,0.382745213,0.258438912,0.132564331,0.155827511,0.774,0.143118775,0.342335981,0.716138525,0.78854713,0.312177692,0.654873574
0,1,2110.3205,0.621593382,0.39896324,0.311515236,0.117563259,0.136636938,0.585199189,0.115195637,0.273734517,0.679197686,0.78854713,0.337964756,0.727398837
0,1,2110.4995,0.538153282,0.387616179,0.272917283,0.111267421,0.127425452,0.552296423,0.156231149,0.23593515,0.679197686,0.78854713,0.337964756,0.723519156
1,0,2117.6595,0.397237469,0.298411522,0.285692699,0.847395973,0.148918922,0.735886868,0.837694141,0.444629289,0.693968275,0.78854713,0.326349738,0.426268595
1,0,2117.8385,0.395472873,0.293546116,0.263891753,0.865735842,0.152757182,0.735886868,0.883386549,0.435355445,0.69899963,0.78854713,0.322478658,0.437347242
1,0,2154.7125,0.363214693,0.228674465,0.149681856,0.56961754,0.129388653,0.561697213,0.218815864,0.498469145,0.741476796,0.78854713,0.321752127,0.435464211
0,1,2182.9945,0.415324627,0.253172745,0.163655859,0.869968119,0.151221772,0.66745613,0.965632883,0.374817854,0.733236636,0.78854713,0.319412992,0.48261262
1,0,2527.9275,0,0.183263598,0.852521292,0.489631589,0.728474423,0,0.544755386,0.342359443,0.521714266,0.786788566,0.552277968,0.532235443
1,0,2347.1375,0.361434699,0.216186174,0.114699665,0.785792826,0.126357799,0.384969826,0.459972377,0.489714742,0.592549793,0.786788566,0.461223265,0.124445437
1,0,2470.6475,0.277854588,0.559197243,0.359425546,0.143833789,0.251626887,0.653119898,0.226435599,0.84752629,0.638699265,0.786788566,0.246665876,0.424967127
1,0,2261.3965,0.31484978,0.219964746,0.941817997,0.563833392,0.593372739,0.261668683,0.761748227,0.473996462,0.492749842,0.786788566,0.41921342,0.157447459
1,0,2549.9445,0,0.132987743,0.565383654,0.328768732,0.54512477,0.141951932,0.399554727,0.468329113,0.564168411,0.786788566,0.527314363,0.168545468
1,0,2090.8095,0.774,0.774,0.774,0.774,0,0,0,0,0,0.786788566,0,0.774
1,0,2814.1485,0.139518426,0.322738548,0.153181159,0.195219324,0,0,0,0,0,0.786788566,0,0.283938359
1,0,2421.154,0.219637626,0.16672122,0.619674255,0.364916358,0.566559268,0.187757246,0.399472732,0.498726711,0.442152547,0.786788566,0.266242291,0.336211327
0,1,2794.6375,0,0,0,0,0,0,0,0.515213545,0.764174637,0.78529112,0.166586787,0.774
0,1,2446.751,0.346341184,0.774,0.774,0.55643394,0.597628219,0.774,0.774,0.216389689,0.774,0.78529112,0.171482833,0.496617987
1,0,2495.3495,0,0.15682823,0.789795172,0.476366327,0.715424829,0,0.546472585,0.417838185,0.461413657,0.78529112,0.579218357,0.247497613
1,0,2347.048,0.366626616,0.2225112,0.113228568,0.878947183,0.127732516,0.369451542,0.456924779,0.482239878,0.582257322,0.78529112,0.412655775,0.124163915
1,0,2092.868,0.479654314,0.774,0.774,0.774,0.228291142,0.382612164,0.233645114,0.515213545,0.65693858,0.78529112,0.257982453,0.666753875
0,1,2251.641,0.3926813,0.478171554,0.231798716,0.592518827,0.529661283,0.272874235,0.585878256,0.391562294,0.521714266,0.78529112,0.497681516,0.739645228
0,1,2251.7305,0.388946572,0.442265337,0.228541773,0.582173264,0.483626241,0.193186238,0.559478148,0.473996462,0.515817858,0.78529112,0.415745462,0.728885382
0,1,2251.82,0.369181473,0.464235181,0.225283444,0.571827694,0.437545228,0.179855298,0.533788993,0.556436282,0.599214485,0.78529112,0.421721948,0.717971778
1,0,2350.449,0.323822494,0.226727884,0.192212937,0.673423496,0.111921442,0.392482991,0.758493968,0.515213545,0.482448733,0.78529112,0.428223124,0.143176837
1,0,2363.2475,0.324132668,0.214421911,0.121449341,0.564773898,0.868949473,0.336313269,0.661168315,0.556829484,0.493175647,0.78529112,0.448479922,0.723446958
1,0,2364.053,0.447892415,0.348987287,0.173744453,0.13354142,0.251892911,0.693778315,0.131594134,0.39568423,0.552532838,0.78529112,0.444132459,0.126133476
1,0,2364.053,0.447892415,0.348987287,0.173744453,0.13354142,0.251892911,0.693778315,0.131594134,0.39568423,0.552532838,0.78529112,0.444132459,0.126133476
1,0,2549.4075,0,0.123581293,0.554521588,0.343284717,0.573444283,0.139836754,0.415891149,0.518342295,0.557957527,0.78529112,0.531644285,0.228645782
1,0,2561.0425,0,0.133149924,0.521221336,0.296259414,0.4713265,0.149775837,0.459972377,0.483273489,0.555258695,0.78529112,0.53291965,0.364986553
1,0,2402.18,0.411912137,0.164456973,0.821172233,0.411115473,0,0,0,0,0,0.78529112,0,0.312966986
1,0,2462.145,0.665147761,0.135969865,0.657883248,0.425366534,0,0,0,0,0,0.78529112,0,0.223222462
1,0,2802.5135,0.774,0.774,0.774,0.75951935,0.15657798,0.389662754,0.774,0.515213545,0.774,0.78529112,0.168742964,0.318293449
0,1,2153.191,0.545287324,0.363998814,0.181413982,0.199874687,0,0,0,0,0,0.78529112,0,0.614434225
1,0,2829.5425,0.383158933,0.395395266,0.132839487,0.883135243,0,0,0,0,0,0.78529112,0,0.299111448
1,0,2058.4105,0.272395511,0.413883862,0.354936162,0.149869643,0,0,0,0,0,0.78529112,0,0.349315962
1,0,2048.0285,0.993866558,0.775181649,0.537748992,0.129883889,0,0,0,0,0,0.78529112,0,0.265317957
1,0,2298.2705,0.157415243,0.547872957,0.378971346,0.94144659,0,0,0,0,0,0.78529112,0,0.175439772
0,1,2281.355,0.418115633,0.279598621,0.133345792,0.662352646,0.859737992,0.26839256,0.744278552,0.187225167,0.573288194,0.78529112,0.437499673,0.453638765
0,1,2283.503,0.433424573,0.285112747,0.145849769,0.724276534,0.168552728,0.312576274,0.799863468,0.258121986,0.538669746,0.78529112,0.479442127,0.349245817
1,0,2477.002,0.438475926,0.267921649,0.123219324,0.959316196,0.149845697,0.348769316,0.825594993,0.323554165,0.576275743,0.78529112,0.433949973,0.718562688
1,0,2480.1345,0.44778117,0.245542442,0.118652457,0.546434295,0.755341236,0.285313982,0.782863253,0.391562294,0.553869351,0.78529112,0.465677228,0.999729957
1,0,2480.3135,0.466391658,0.252352352,0.126929169,0.567595416,0.825194948,0.286724158,0.816371177,0.433294592,0.571434389,0.78529112,0.441483997,0.133582713
1,0,3042.1945,0.449664189,0.774,0.584781382,0.289581825,0.441461635,0.774,0.337299689,0.131379454,0.774,0.783271674,0.171854728,0.735778184
1,0,2400.4795,0.374389864,0.234999733,0.115537397,0.621674516,0.143199938,0.437667833,0.763579215,0.396972362,0.598531888,0.783271674,0.41322393,0.689842364
1,0,2964.8665,0,0,0,0,0,0,0,0.118499115,0.774,0.783271674,0.178984199,0.296425744
0,1,2689.0275,0.826926229,0.774,0.774,0.299927387,0,0,0,0,0,0.783271674,0,0.462283442
0,1,2265.6925,0.464952286,0.267921649,0.122559457,0.695339893,0.699347416,0.223528682,0.868155746,0.26698536,0.516446879,0.783271674,0.579957125,0.355846755
